long,lat
73.312500,28.020833
69.104167,23.312500
80.854167,9.229167
67.895833,24.145833
79.812500,9.104167
79.812500,7.895833
79.812500,8.229167
80.520833,8.979167
80.312500,13.229167
79.104167,13.145833
80.812500,9.270833
80.812500,9.229167
79.770833,9.604167
79.770833,9.645833
81.520833,6.354167
81.520833,6.395833
80.479167,9.437500
80.270833,9.645833
73.937500,15.312500
78.729167,10.687500
74.729167,20.895833
80.770833,9.270833
79.729167,9.520833
79.729167,9.104167
79.729167,8.229167
79.729167,8.187500
79.729167,8.062500
82.979167,22.187500
81.437500,6.395833
80.229167,9.520833
73.687500,18.229167
79.687500,9.520833
74.187500,18.270833
81.229167,6.229167
81.229167,6.187500
80.020833,9.687500
80.020833,8.395833
80.020833,8.979167
80.020833,9.645833
80.687500,9.312500
81.354167,6.270833
81.354167,6.229167
74.145833,15.645833
72.937500,18.395833
81.187500,6.187500
80.145833,9.645833
79.979167,8.562500
79.979167,8.645833
79.979167,9.312500
79.979167,9.270833
79.979167,9.604167
79.937500,8.729167
79.937500,8.562500
79.937500,8.895833
79.937500,8.937500
79.937500,9.687500
81.854167,7.395833
81.854167,7.104167
77.562500,8.145833
80.104167,9.020833
80.104167,8.979167
80.104167,9.812500
79.895833,8.979167
79.895833,9.645833
79.895833,8.354167
81.812500,6.854167
81.812500,6.770833
81.812500,6.729167
81.645833,6.562500
80.395833,9.395833
74.229167,15.562500
80.062500,9.645833
80.062500,9.104167
79.854167,9.062500
79.854167,9.604167
79.854167,8.020833
81.770833,6.645833
81.770833,6.687500
81.770833,6.770833
76.604167,20.729167
