"lon","lat"
79.106774,13.13742
73.311916,28.022935
74.130603,15.654838
73.682258,18.246485
69.098007,23.313255
74.190268,18.257752
78.742044,10.678048
74.229671,15.568573
73.95,15.3
76.587825,20.719484
72.936491,18.399907
74.723014,20.898786
74.723014,20.898786
67.900481,24.165681
67.900481,24.165681
67.900481,24.165681
67.900481,24.165681
67.900481,24.165681
77.559111,8.152678
80.317017,13.210542
82.965264,22.197267
79.9000000183324,8.98329999394486
81.4505957977059,6.38615001745069
81.1897522244397,6.18780438678905
81.2103729359845,6.17258205534657
81.2363031278196,6.2049808253839
81.2201476357442,6.23266267132762
81.2307431304067,6.24838805448385
81.3347659683628,6.22960115144567
81.3702856496625,6.25639951448225
81.5088975955366,6.36324711132817
81.6385497830379,6.54250131588702
81.7643192744113,6.62994039683998
81.7726066194786,6.76221868682453
79.8188304297018,8.24030464926592
81.8065030387775,6.75850352226322
79.8141262218869,9.08341087675795
81.7977426719373,6.73739208188043
81.8156620884408,6.84954876887384
79.7168334395693,8.04609450464743
79.7351678989466,8.19767847600503
79.7134134302017,9.09894983452898
80.8175003560877,9.26260722384511
79.7319085517709,8.21756988296609
80.8401145031806,9.23192334985528
79.8511805785962,9.06348363865857
80.525870292547,8.97162236557456
79.8356874338371,8.03625802378299
80.7866234034074,9.25172721714014
80.0383501758376,8.96024721375497
80.1016569938077,8.98206471631972
80.2129462367494,9.50130491123501
79.8254959228737,7.91343151371732
79.9541227825054,9.70702567497725
79.7292137373815,9.09091175259002
79.9958098777238,9.60548190170791
80.7013553159708,9.32239004143818
80.088004140075,9.03785125103615
79.7706941931736,9.61008746862072
80.0246559907583,9.66098337910289
79.7095492497805,9.52309821048051
79.8471594960392,9.60988657554054
79.9564109567205,8.91017748028472
81.7794550148247,6.70589493256162
81.3670264893133,6.23952199706498
80.8258249833411,9.24277741839141
79.8800352605007,8.33635826257743
79.9461287604037,8.55341432047137
79.9596405192352,8.65362558918394
79.9517977579382,8.74868146395169
79.9833000181396,9.29999999357705
79.9835190104812,8.54213401902629
80.3911433799808,9.38328658519496
81.5000000151618,6.41659999663563
80.4806828503662,9.43210409503379
80.000000018143,8.41659999457243
81.8352310865131,7.10840454061174
79.8786833183576,9.65032239319827
80.0816460691807,9.10025691356175
81.8415854531825,7.37739477878414
80.2799997527845,9.65339755343302
79.7658573914674,9.59550609475387
79.7733755116603,9.66528958074583
80.0786359179245,9.63829019318635
80.1312830546489,9.65989032806035
79.9987756606028,9.27791139965537
80.0012970180904,9.68911699313937
79.9421190182431,8.92482499400494
80.0930190178903,9.80649699299724
79.7020670187478,9.52264999336457
